idmensaje,idusuarioremitente,idusuarioreceptor,fechamensaje,contenidomensaje
18188,910,898,2022-01-12,¿Qué piensas de las últimas actualizaciones?
18189,910,487,2022-01-08,¿Qué piensas de los gráficos del juego?
18190,910,133,2022-01-07,¿Qué te parece si creamos un torneo?
18191,910,688,2022-01-01,¡No puedo esperar para jugar de nuevo!
18192,910,510,2022-01-01,¿Te gustaría unirte a nuestro grupo de
18193,910,56,2022-01-30,Algun dia me tienes que enseñar a jugar al Stardew Valley
18194,910,433,2022-01-18,Echemonos algunas partidas al CSGO
18195,910,834,2022-01-14,Muy cringe tu foto de perfil
18196,910,261,2022-01-17,¿Qué piensas de los gráficos del juego?
18197,910,52,2022-01-18,¡Esa fue una gran partida!
18198,910,512,2022-01-08,¡No puedo esperar para jugar de nuevo!
18199,910,344,2022-01-23,¿Qué piensas de las últimas actualizaciones?
18200,910,187,2022-01-19,¿Quieres jugar de nuevo?
18201,911,371,2022-01-20,¿Te gustaría unirte a nuestro grupo de
18202,911,233,2022-01-01,No me puedo creer que tengas tan pocas horas
18203,911,194,2022-01-03,¡Esa fue una gran jugada!
18204,911,69,2022-01-18,¿Qué te parece si creamos una estrategia?
18205,911,262,2022-01-20,¿Qué piensas de las últimas actualizaciones?
18206,911,750,2022-01-28,¡Eso estuvo muy cerca!
18207,911,987,2022-01-23,¿Cómo te va en el juego?
18208,911,330,2022-01-05,Camper tunneler -rep
18209,911,692,2022-01-20,Gracias por el carreo
18210,911,525,2022-01-12,¿Has visto la nueva arma?
18211,911,821,2022-01-23,Gracias por el carreo
18212,911,439,2022-01-13,¿Te gustaría unirte a nuestro grupo de
18213,911,907,2022-01-24,¡Eso fue épico!
18214,911,335,2022-01-14,¿Cuál es tu personaje más odiado?
18215,911,205,2022-01-21,¿Cuántas horas has jugado?
18216,911,967,2022-01-18,¿Cuál es tu arma favorita?
18217,911,904,2022-01-09,¿Cuál es tu personaje favorito?
18218,911,172,2022-01-06,Muy cringe tu foto de perfil
18219,911,289,2022-01-18,Camper tunneler -rep
18220,911,917,2022-01-09,¡Esa fue una gran partida!
18221,912,676,2022-01-25,¡No puedo esperar para jugar de nuevo!
18222,912,244,2022-01-14,¡No puedo creer que ganamos esa partida!
18223,912,117,2022-01-05,Hola, ¿cómo estás?
18224,912,825,2022-01-12,Vete a recoger patatas
18225,912,389,2022-01-02,¿Has probado el nuevo personaje?
18226,912,604,2022-01-13,¿Qué te parece si creamos un torneo?
18227,912,108,2022-01-01,Algun dia me tienes que enseñar a jugar al Stardew Valley
18228,912,943,2022-01-22,Algun dia me tienes que enseñar a jugar al Stardew Valley
18229,912,980,2022-01-26,¿Cuál es tu personaje favorito?
18230,912,530,2022-01-17,No te rindas tienes potencial
18231,912,470,2022-01-03,¿Cuántas horas has jugado?
18232,912,816,2022-01-16,¿Cuál es tu arma favorita?
18233,912,969,2022-01-25,¿Cómo te va en el juego?
18234,912,214,2022-01-18,GG
18235,912,574,2022-01-26,¡No puedo esperar para jugar de nuevo!
18236,912,858,2022-01-01,Que perfil mas chulo
18237,912,203,2022-01-06,Echemonos algunas partidas al CSGO
18238,912,100,2022-01-18,No te rindas tienes potencial
18239,912,979,2022-01-10,¿Te gustaría unirte a nuestro grupo de
18240,912,157,2022-01-25,¿Te gustaría jugar en grupo?
18241,913,354,2022-01-07,Me intercambias cromos?
18242,913,687,2022-01-18,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18243,913,708,2022-01-20,Algun dia me tienes que enseñar a jugar al Stardew Valley
18244,913,117,2022-01-17,¿Qué te parece si jugamos en equipo?
18245,913,744,2022-01-05,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18246,913,704,2022-01-06,¡Eso fue épico!
18247,913,612,2022-01-01,¿Te gustaría una revancha?
18248,913,620,2022-01-10,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
18249,913,802,2022-01-24,Vete a recoger patatas
18250,913,256,2022-01-04,¿Cuál es tu personaje favorito?
18251,913,446,2022-01-07,¡Eso estuvo muy cerca!
18252,913,379,2022-01-04,¿Cuál es tu arma favorita?
18253,913,35,2022-01-07,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
18254,913,45,2022-01-23,Camper tunneler -rep
18255,913,296,2022-01-14,Camper tunneler -rep
18256,913,582,2022-01-10,+rep divertido jugar con el :D
18257,913,197,2022-01-12,No me puedo creer que tengas tan pocas horas
18258,913,283,2022-01-04,¿Te gustaría unirte a nuestro clan?
18259,913,628,2022-01-07,Camper tunneler -rep
18260,913,681,2022-01-19,¿Qué te parece si creamos una estrategia?
18261,914,843,2022-01-15,¡Vamos a hacer un equipo imbatible!
18262,914,899,2022-01-16,¿Qué te parece si creamos un torneo?
18263,914,853,2022-01-01,Como es posible que tengas tantas horas O:
18264,914,549,2022-01-13,¿Te gustaría unirte a nuestro grupo de
18265,914,303,2022-01-04,¡No puedo esperar para jugar de nuevo!
18266,914,939,2022-01-29,¿Quieres jugar una partida?
18267,914,291,2022-01-02,GG
18268,914,462,2022-01-17,Que perfil mas chulo
18269,914,696,2022-01-19,Echemonos algunas partidas al CSGO
18270,914,795,2022-01-18,¿Cuál es tu estrategia favorita?
18271,914,398,2022-01-09,Gracias por el carreo
18272,914,127,2022-01-15,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18273,914,380,2022-01-16,¡Esa fue una gran partida!
18274,914,540,2022-01-22,¡Esa fue una gran jugada!
18275,914,36,2022-01-20,Hola, ¿cómo estás?
18276,914,425,2022-01-21,¿Qué te parece si creamos una estrategia?
18277,914,940,2022-01-28,¿Cuál es tu personaje más odiado?
18278,914,206,2022-01-18,¿Qué te parece si nos agregamos como amigos?
18279,914,294,2022-01-25,¿Cuál es tu estrategia favorita?
18280,914,494,2022-01-04,¿Te gustaría jugar en equipo?
18281,915,123,2022-01-29,¿Has visto el último tráiler?
18282,915,129,2022-01-24,¡No puedo esperar para jugar de nuevo!
18283,915,300,2022-01-25,¡Eso fue épico!
18284,915,905,2022-01-06,Que perfil mas chulo
18285,915,413,2022-01-11,Algun dia me tienes que enseñar a jugar al Stardew Valley
18286,915,364,2022-01-26,¿Qué piensas de los gráficos del juego?
18287,915,690,2022-01-22,¿Has visto el último tráiler?
18288,915,19,2022-01-10,Me intercambias cromos?
18289,915,816,2022-01-25,¿Quieres jugar una partida?
18290,915,946,2022-01-09,Gracias por el carreo
18291,915,360,2022-01-01,¡No puedo esperar para jugar de nuevo!
18292,915,854,2022-01-26,¿Cuál es tu personaje más odiado?
18293,915,443,2022-01-25,GG
18294,915,951,2022-01-10,¿Cuántas horas has jugado?
18295,915,570,2022-01-14,No me carga tu descripcion :(
18296,915,696,2022-01-27,¿Quieres jugar de nuevo?
18297,915,813,2022-01-11,Camper tunneler -rep
18298,915,293,2022-01-29,¿Te gustaría jugar en grupo?
18299,915,86,2022-01-29,Hola te acuerdas de mi? besis <oo>
18300,915,445,2022-01-15,¿Cómo has estado?
18301,916,908,2022-01-16,Gracias por el carreo
18302,916,635,2022-01-05,Hola, ¿cómo estás?
18303,916,34,2022-01-27,Gracias por el carreo
18304,916,408,2022-01-20,Gracias por el carreo
18305,916,893,2022-01-13,¡Vamos a hacer un equipo imbatible!
18306,916,333,2022-01-08,¿Cómo has estado?
18307,916,888,2022-01-16,¿Te gustaría unirte a nuestro clan?
18308,916,596,2022-01-03,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18309,916,131,2022-01-15,¿Qué piensas de los gráficos del juego?
18310,916,359,2022-01-03,¿Cuál es tu arma favorita?
18311,916,466,2022-01-19,¿Cuál es tu personaje favorito?
18312,916,168,2022-01-13,¿Te gustaría jugar en grupo?
18313,916,56,2022-01-20,¿Qué piensas de los gráficos del juego?
18314,916,975,2022-01-30,¿Te gustaría jugar en equipo?
18315,916,200,2022-01-26,¿Qué te parece si creamos una estrategia?
18316,916,574,2022-01-21,¡Esa fue una gran partida!
18317,916,943,2022-01-27,Gracias por el carreo
18318,916,137,2022-01-08,¿Cuál es tu mapa favorito?
18319,916,622,2022-01-16,Algun dia me tienes que enseñar a jugar al Stardew Valley
18320,916,283,2022-01-14,Como es posible que tengas tantas horas O:
18321,917,965,2022-01-26,¿Has visto la nueva arma?
18322,917,919,2022-01-26,¿Te gustaría unirte a nuestro clan?
18323,917,311,2022-01-21,Gracias por el carreo
18324,917,75,2022-01-06,¿Qué piensas de los gráficos del juego?
18325,917,581,2022-01-09,¿Cuál es tu arma favorita?
18326,917,966,2022-01-11,¿Qué te parece si nos agregamos como amigos?
18327,917,264,2022-01-02,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
18328,917,646,2022-01-05,No te rindas tienes potencial
18329,917,612,2022-01-21,Me intercambias cromos?
18330,917,21,2022-01-22,¿Cómo te va en el juego?
18331,917,324,2022-01-01,Muy cringe tu foto de perfil
18332,917,116,2022-01-17,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18333,917,153,2022-01-29,¿Qué te parece si creamos un torneo?
18334,917,205,2022-01-30,No te rindas tienes potencial
18335,917,551,2022-01-23,¡Esa fue una gran jugada!
18336,917,147,2022-01-14,¿Cuál es tu estrategia favorita?
18337,917,241,2022-01-20,¿Qué piensas de las habilidades especiales?
18338,917,641,2022-01-02,Echemonos algunas partidas al CSGO
18339,917,80,2022-01-21,Echemonos algunas partidas al CSGO
18340,917,532,2022-01-07,Echemonos algunas partidas al CSGO
18341,918,121,2022-01-14,No te rindas tienes potencial
18342,918,918,2022-01-23,¿Qué piensas de los gráficos del juego?
18343,918,836,2022-01-07,Como es posible que tengas tantas horas O:
18344,918,197,2022-01-29,¡Esa fue una gran partida!
18345,918,212,2022-01-18,Gracias por el carreo
18346,918,708,2022-01-02,¡No puedo esperar para jugar de nuevo!
18347,918,158,2022-01-23,Camper tunneler -rep
18348,918,610,2022-01-16,¡No puedo esperar para jugar de nuevo!
18349,918,870,2022-01-14,No jugueis con el le faltan manos
18350,918,76,2022-01-14,¿Qué piensas de las últimas actualizaciones?
18351,918,18,2022-01-02,¡Vamos a hacer un equipo imbatible!
18352,918,30,2022-01-09,¿Te gustaría unirte a nuestro grupo de
18353,918,806,2022-01-30,¿Cuál es tu personaje favorito?
18354,918,548,2022-01-23,Hola te acuerdas de mi? besis <oo>
18355,918,56,2022-01-15,Como es posible que tengas tantas horas O:
18356,918,773,2022-01-26,¿Cómo te va en el juego?
18357,918,8,2022-01-25,¿Cuál es tu arma favorita?
18358,918,528,2022-01-04,¡No puedo esperar para jugar de nuevo!
18359,918,384,2022-01-25,Gracias por el carreo
18360,918,852,2022-01-04,¿Cómo has estado?
18361,919,484,2022-01-13,¿Te gustaría jugar en equipo?
18362,919,160,2022-01-29,Agregame para jugar juntos :)
18363,919,738,2022-01-25,Que perfil mas chulo
18364,919,527,2022-01-29,Que perfil mas chulo
18365,919,752,2022-01-07,¿Qué piensas de las últimas actualizaciones?
18366,919,126,2022-01-01,¿Te gustaría jugar en grupo?
18367,919,247,2022-01-20,¿Qué te parece si jugamos en equipo?
18368,919,163,2022-01-23,¿Qué piensas de los gráficos del juego?
18369,919,763,2022-01-02,¿Te gustaría jugar en grupo?
18370,919,540,2022-01-15,¿Cuál es tu estrategia favorita?
18371,919,741,2022-01-24,Que perfil mas chulo
18372,919,169,2022-01-08,¿Has visto la última actualización?
18373,919,407,2022-01-13,¿Te gustaría jugar en grupo?
18374,919,771,2022-01-18,¿Cuál es tu arma favorita?
18375,919,913,2022-01-07,Camper tunneler -rep
18376,919,689,2022-01-04,Muy cringe tu foto de perfil
18377,919,552,2022-01-22,¿Qué te parece si jugamos en equipo?
18378,919,469,2022-01-23,¿Cuántas horas has jugado?
18379,919,697,2022-01-11,+rep divertido jugar con el :D
18380,919,273,2022-01-24,¿Te gustaría unirte a nuestro clan?
18381,920,148,2022-01-15,Algun dia me tienes que enseñar a jugar al Stardew Valley
18382,920,169,2022-01-10,¿Has visto la nueva arma?
18383,920,369,2022-01-09,¿Cómo te va en el juego?
18384,920,643,2022-01-20,¿Qué piensas de la música del juego?
18385,920,809,2022-01-04,¿Te gustaría una revancha?
18386,920,380,2022-01-17,¿Has visto la última actualización?
18387,920,504,2022-01-30,¿Has visto la nueva arma?
18388,920,250,2022-01-10,¿Qué piensas de las habilidades especiales?
18389,920,122,2022-01-23,Algun dia me tienes que enseñar a jugar al Stardew Valley
18390,920,624,2022-01-13,¿Qué piensas de los gráficos del juego?
18391,920,656,2022-01-05,¿Has probado el nuevo personaje?
18392,920,808,2022-01-29,Vete a recoger patatas
18393,920,15,2022-01-02,¿Qué piensas de las habilidades especiales?
18394,920,533,2022-01-19,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18395,920,857,2022-01-03,¿Has probado el nuevo personaje?
18396,920,166,2022-01-15,¿Has probado el nuevo personaje?
18397,920,301,2022-01-15,¿Te gustaría jugar en equipo?
18398,920,637,2022-01-04,¿Has visto la última actualización?
18399,920,975,2022-01-17,¿Qué piensas de los gráficos del juego?
18400,920,344,2022-01-20,¿Qué piensas de los gráficos del juego?
18401,921,589,2022-01-30,¿Cuál es tu estrategia favorita?
18402,921,76,2022-01-03,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18403,921,142,2022-01-28,¿Has probado el nuevo personaje?
18404,921,362,2022-01-29,¿Cuál es tu mapa favorito?
18405,921,691,2022-01-06,No te rindas tienes potencial
18406,921,238,2022-01-22,Algun dia me tienes que enseñar a jugar al Stardew Valley
18407,921,963,2022-01-16,¿Has visto la nueva arma?
18408,921,315,2022-01-04,¿Has visto la última actualización?
18409,921,401,2022-01-08,No me puedo creer que tengas tan pocas horas
18410,921,399,2022-01-16,¿Qué piensas de las últimas actualizaciones?
18411,921,142,2022-01-16,¿Cuál es tu mapa favorito?
18412,921,530,2022-01-20,¿Qué piensas de las habilidades especiales?
18413,921,956,2022-01-10,¿Te gustaría una revancha?
18414,921,378,2022-01-30,¡Vamos a hacer un equipo imbatible!
18415,921,159,2022-01-16,No te rindas tienes potencial
18416,921,801,2022-01-26,¿Quieres jugar una partida?
18417,921,616,2022-01-12,¡Esa fue una gran jugada!
18418,921,981,2022-01-15,¿Cuál es tu arma favorita?
18419,921,145,2022-01-04,Gracias por el carreo
18420,921,9,2022-01-16,¿Te gustaría jugar en equipo?
18421,922,467,2022-01-26,Gracias por el carreo
18422,922,66,2022-01-21,¿Has visto la última actualización?
18423,922,848,2022-01-13,¿Cuántas horas has jugado?
18424,922,758,2022-01-11,¿Qué te parece si nos agregamos como amigos?
18425,922,861,2022-01-26,¿Has probado el nuevo personaje?
18426,922,812,2022-01-24,Muy cringe tu foto de perfil
18427,922,884,2022-01-19,¿Cuál es tu estrategia favorita?
18428,922,392,2022-01-28,¿Qué piensas de las últimas actualizaciones?
18429,922,99,2022-01-20,¿Quieres jugar una partida?
18430,922,41,2022-01-24,¿Cuál es tu personaje más odiado?
18431,922,368,2022-01-08,Gracias por el carreo
18432,922,843,2022-01-11,Como es posible que tengas tantas horas O:
18433,922,60,2022-01-05,¿Qué piensas de las últimas actualizaciones?
18434,922,373,2022-01-20,¡Esa fue una gran partida!
18435,922,138,2022-01-16,¿Qué piensas de las últimas actualizaciones?
18436,922,246,2022-01-26,¡Eso fue épico!
18437,922,511,2022-01-18,¿Cuál es tu estrategia favorita?
18438,922,994,2022-01-04,¡Eso fue épico!
18439,922,492,2022-01-22,¿Qué te parece si creamos una estrategia?
18440,922,97,2022-01-22,¡Vamos a hacer un equipo imbatible!
18441,923,658,2022-01-25,Algun dia me tienes que enseñar a jugar al Stardew Valley
18442,923,781,2022-01-15,¿Qué piensas de las últimas actualizaciones?
18443,923,207,2022-01-02,¿Qué te parece si creamos una estrategia?
18444,923,770,2022-01-06,¿Te gustaría jugar en equipo?
18445,923,408,2022-01-22,¿Qué te parece si jugamos en modo historia?
18446,923,978,2022-01-27,¿Te gustaría una revancha?
18447,923,841,2022-01-21,Echemonos algunas partidas al CSGO
18448,923,118,2022-01-21,¿Cuál es tu estrategia favorita?
18449,923,98,2022-01-20,Algun dia me tienes que enseñar a jugar al Stardew Valley
18450,923,240,2022-01-01,¡No puedo esperar para jugar de nuevo!
18451,923,204,2022-01-24,+rep divertido jugar con el :D
18452,923,189,2022-01-15,¿Qué piensas de las últimas actualizaciones?
18453,923,360,2022-01-16,¡No puedo creer que ganamos esa partida!
18454,923,11,2022-01-07,Hola te acuerdas de mi? besis <oo>
18455,923,786,2022-01-12,Hola, ¿cómo estás?
18456,923,17,2022-01-04,¿Cuántas horas has jugado?
18457,923,493,2022-01-15,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18458,923,348,2022-01-18,¡Esa fue una gran jugada!
18459,923,482,2022-01-04,Camper tunneler -rep
18460,923,55,2022-01-05,Algun dia me tienes que enseñar a jugar al Stardew Valley
18461,924,835,2022-01-13,¿Cómo has estado?
18462,924,986,2022-01-24,¿Qué te parece si nos agregamos como amigos?
18463,924,322,2022-01-21,¿Has visto el último tráiler?
18464,924,219,2022-01-12,¿Cuál es tu mapa favorito?
18465,924,297,2022-01-21,Gracias por el carreo
18466,924,46,2022-01-24,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18467,924,494,2022-01-13,¡Vamos a hacer un equipo imbatible!
18468,924,549,2022-01-08,¡Eso estuvo muy cerca!
18469,924,388,2022-01-21,¿Te gustaría unirte a nuestro clan?
18470,924,580,2022-01-14,¡Vamos a hacer un equipo imbatible!
18471,924,252,2022-01-11,+rep divertido jugar con el :D
18472,924,645,2022-01-23,¿Te gustaría unirte a nuestro grupo de
18473,924,591,2022-01-07,Hola te acuerdas de mi? besis <oo>
18474,924,966,2022-01-06,¿Qué te parece si jugamos en equipo?
18475,924,302,2022-01-10,¿Te gustaría unirte a nuestro grupo de
18476,924,498,2022-01-26,No te rindas tienes potencial
18477,924,358,2022-01-06,Como es posible que tengas tantas horas O:
18478,924,869,2022-01-28,¿Qué piensas de las habilidades especiales?
18479,924,409,2022-01-16,¿Cuál es tu personaje más odiado?
18480,924,748,2022-01-21,¿Cuál es tu arma favorita?
18481,925,505,2022-01-07,Agregame para jugar juntos :)
18482,925,816,2022-01-08,¿Te gustaría jugar en grupo?
18483,925,229,2022-01-24,Vete a recoger patatas
18484,925,884,2022-01-24,¿Has probado el nuevo personaje?
18485,925,552,2022-01-09,¡No puedo esperar para jugar de nuevo!
18486,925,818,2022-01-21,Como es posible que tengas tantas horas O:
18487,925,725,2022-01-28,¿Cuál es tu estrategia favorita?
18488,925,141,2022-01-27,¡Vamos a hacer un equipo imbatible!
18489,925,670,2022-01-04,¿Qué piensas de los gráficos del juego?
18490,925,2,2022-01-13,GG
18491,925,942,2022-01-22,¿Has visto la nueva arma?
18492,925,60,2022-01-29,Hola, ¿cómo estás?
18493,925,872,2022-01-09,¡No puedo esperar para jugar de nuevo!
18494,925,656,2022-01-29,¿Te gustaría una revancha?
18495,925,103,2022-01-28,¡Eso fue épico!
18496,925,281,2022-01-15,No me puedo creer que tengas tan pocas horas
18497,925,411,2022-01-22,¿Qué piensas de los gráficos del juego?
18498,925,908,2022-01-04,¿Cómo te va en el juego?
18499,925,144,2022-01-10,¿Has visto el último tráiler?
18500,925,806,2022-01-26,¿Cuántas horas has jugado?
18501,926,74,2022-01-01,Muy cringe tu foto de perfil
18502,926,969,2022-01-21,¡Vamos a hacer un equipo imbatible!
18503,926,426,2022-01-14,Agregame para jugar juntos :)
18504,926,282,2022-01-19,¿Qué te parece si creamos una estrategia?
18505,926,594,2022-01-15,No te rindas tienes potencial
18506,926,927,2022-01-28,¿Has visto la última actualización?
18507,926,436,2022-01-22,¿Has visto el último tráiler?
18508,926,122,2022-01-22,¿Qué te parece si creamos un torneo?
18509,926,884,2022-01-09,¡No puedo creer que ganamos esa partida!
18510,926,940,2022-01-20,¿Te gustaría jugar en grupo?
18511,926,910,2022-01-22,Camper tunneler -rep
18512,926,421,2022-01-06,¿Has visto la última actualización?
18513,926,279,2022-01-30,¿Te gustaría unirte a nuestro clan?
18514,926,179,2022-01-09,¿Has probado el nuevo personaje?
18515,926,596,2022-01-20,¡No puedo creer que ganamos esa partida!
18516,926,917,2022-01-07,¿Qué piensas de las últimas actualizaciones?
18517,926,10,2022-01-21,¿Cuál es tu personaje favorito?
18518,926,63,2022-01-01,No jugueis con el le faltan manos
18519,926,599,2022-01-12,¿Qué te parece si jugamos en equipo?
18520,926,423,2022-01-02,¿Cuál es tu estrategia favorita?
18521,927,325,2022-01-08,¿Cuál es tu personaje más odiado?
18522,927,791,2022-01-04,¿Has probado el nuevo personaje?
18523,927,448,2022-01-05,¿Te gustaría unirte a nuestro grupo de
18524,927,545,2022-01-27,¡No puedo esperar para jugar de nuevo!
18525,927,758,2022-01-18,¡Vamos a hacer un equipo imbatible!
18526,927,199,2022-01-16,¿Has visto el último tráiler?
18527,927,371,2022-01-10,¿Has visto la nueva arma?
18528,927,748,2022-01-27,¿Has visto el último tráiler?
18529,927,75,2022-01-27,¡No puedo esperar para jugar de nuevo!
18530,927,201,2022-01-23,¡No puedo creer que ganamos esa partida!
18531,927,121,2022-01-05,¿Te gustaría unirte a nuestro grupo de
18532,927,488,2022-01-15,¿Has probado el nuevo personaje?
18533,927,917,2022-01-26,¿Cómo has estado?
18534,927,499,2022-01-24,¡Eso fue impresionante!
18535,927,676,2022-01-06,Hola, ¿cómo estás?
18536,927,536,2022-01-27,¿Cuál es tu arma favorita?
18537,927,785,2022-01-18,¡Vamos a hacer un equipo imbatible!
18538,927,546,2022-01-16,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
18539,927,657,2022-01-22,No te rindas tienes potencial
18540,927,328,2022-01-17,¿Cuál es tu estrategia favorita?
18541,928,689,2022-01-27,¿Te gustaría jugar en equipo?
18542,928,607,2022-01-01,¿Cuál es tu arma favorita?
18543,928,947,2022-01-29,¡Esa fue una gran partida!
18544,928,505,2022-01-21,Muy cringe tu foto de perfil
18545,928,967,2022-01-22,¡Eso fue impresionante!
18546,928,519,2022-01-11,¿Qué te parece si creamos un torneo?
18547,928,342,2022-01-01,¿Qué piensas de los gráficos del juego?
18548,928,246,2022-01-19,GG
18549,928,630,2022-01-30,¿Cuántas horas has jugado?
18550,928,112,2022-01-28,¡Esa fue una gran jugada!
18551,928,367,2022-01-29,Gracias por el carreo
18552,928,35,2022-01-04,GG
18553,928,311,2022-01-22,¿Qué piensas de las últimas actualizaciones?
18554,928,528,2022-01-20,¿Qué piensas de las últimas actualizaciones?
18555,928,561,2022-01-19,No me puedo creer que tengas tan pocas horas
18556,928,318,2022-01-10,¡Esa fue una gran partida!
18557,928,296,2022-01-22,¿Qué piensas de las últimas actualizaciones?
18558,928,849,2022-01-03,¿Quieres jugar de nuevo?
18559,928,221,2022-01-18,Hola te acuerdas de mi? besis <oo>
18560,928,95,2022-01-23,¿Qué te parece si nos agregamos como amigos?
18561,929,229,2022-01-02,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
18562,929,656,2022-01-18,Echemonos algunas partidas al CSGO
18563,929,732,2022-01-29,¡Esa fue una gran jugada!
18564,929,485,2022-01-07,¿Qué piensas de los gráficos del juego?
18565,929,407,2022-01-07,¿Cuál es tu estrategia favorita?
18566,929,175,2022-01-13,No me carga tu descripcion :(
18567,929,200,2022-01-18,¿Qué piensas de las habilidades especiales?
18568,929,847,2022-01-08,¿Has visto el último tráiler?
18569,929,280,2022-01-14,¡Esa fue una gran jugada!
18570,929,12,2022-01-16,¿Qué piensas de las últimas actualizaciones?
18571,929,981,2022-01-03,¡Vamos a hacer un equipo imbatible!
18572,929,730,2022-01-25,¡Vamos a hacer un equipo imbatible!
18573,929,597,2022-01-17,¡No puedo esperar para jugar de nuevo!
18574,929,943,2022-01-14,¿Cuál es tu estrategia favorita?
18575,929,77,2022-01-09,¿Cuántas horas has jugado?
18576,929,844,2022-01-02,¿Cuál es tu mapa favorito?
18577,929,942,2022-01-05,¿Qué te parece si creamos un torneo?
18578,929,173,2022-01-25,No te rindas tienes potencial
18579,929,547,2022-01-08,¿Te gustaría unirte a nuestro clan?
18580,929,922,2022-01-05,¿Qué te parece si creamos un torneo?
18581,930,502,2022-01-23,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18582,930,207,2022-01-05,¿Cómo has estado?
18583,930,50,2022-01-21,Me intercambias cromos?
18584,930,669,2022-01-02,¿Cuál es tu personaje más odiado?
18585,930,479,2022-01-07,Muy cringe tu foto de perfil
18586,930,156,2022-01-27,¡No puedo creer que ganamos esa partida!
18587,930,129,2022-01-28,Camper tunneler -rep
18588,930,750,2022-01-27,No jugueis con el le faltan manos
18589,930,999,2022-01-29,Hola, ¿cómo estás?
18590,930,600,2022-01-01,¿Cuál es tu personaje favorito?
18591,930,667,2022-01-23,¿Te gustaría jugar en equipo?
18592,930,184,2022-01-29,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18593,930,999,2022-01-26,¿Has visto la última actualización?
18594,930,843,2022-01-08,¿Te gustaría una revancha?
18595,930,713,2022-01-30,¿Cómo has estado?
18596,930,646,2022-01-30,Que perfil mas chulo
18597,930,542,2022-01-16,¿Qué te parece si jugamos en modo historia?
18598,930,293,2022-01-19,¿Te gustaría unirte a nuestro grupo de
18599,930,718,2022-01-17,¿Has visto el último tráiler?
18600,930,142,2022-01-25,¿Qué piensas de la música del juego?
18601,931,584,2022-01-30,¿Qué piensas de la música del juego?
18602,931,921,2022-01-21,¡Esa fue una gran jugada!
18603,931,430,2022-01-18,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18604,931,421,2022-01-10,Echemonos algunas partidas al CSGO
18605,931,848,2022-01-28,¿Has visto el último tráiler?
18606,931,406,2022-01-08,¿Quieres jugar de nuevo?
18607,931,522,2022-01-09,Vete a recoger patatas
18608,931,40,2022-01-17,¿Has visto el último tráiler?
18609,931,953,2022-01-14,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
18610,931,826,2022-01-03,Camper tunneler -rep
18611,931,762,2022-01-19,¿Cuál es tu personaje favorito?
18612,931,984,2022-01-21,¿Qué piensas de los gráficos del juego?
18613,931,505,2022-01-09,¡No puedo creer que ganamos esa partida!
18614,931,519,2022-01-29,¿Cuál es tu mapa favorito?
18615,931,965,2022-01-02,¡Eso fue impresionante!
18616,931,500,2022-01-25,¿Cuál es tu mapa favorito?
18617,931,109,2022-01-08,¡Esa fue una gran partida!
18618,931,947,2022-01-28,No me puedo creer que tengas tan pocas horas
18619,931,55,2022-01-10,¿Cuál es tu personaje más odiado?
18620,931,523,2022-01-27,¿Te gustaría unirte a nuestro clan?
18621,932,499,2022-01-04,¿Qué piensas de los gráficos del juego?
18622,932,960,2022-01-01,¿Has visto la nueva arma?
18623,932,902,2022-01-12,Gracias por el carreo
18624,932,44,2022-01-27,¿Qué te parece si creamos un torneo?
18625,932,554,2022-01-22,Hola, ¿cómo estás?
18626,932,687,2022-01-19,¡Vamos a hacer un equipo imbatible!
18627,932,438,2022-01-04,Que perfil mas chulo
18628,932,73,2022-01-22,¿Cómo has estado?
18629,932,160,2022-01-04,¡Esa fue una gran partida!
18630,932,971,2022-01-30,¿Qué te parece si creamos una estrategia?
18631,932,376,2022-01-02,No me carga tu descripcion :(
18632,932,783,2022-01-23,GG
18633,932,757,2022-01-06,¿Quieres jugar una partida?
18634,932,546,2022-01-28,¿Cuántas horas has jugado?
18635,932,555,2022-01-18,¡Esa fue una gran partida!
18636,932,337,2022-01-06,Algun dia me tienes que enseñar a jugar al Stardew Valley
18637,932,509,2022-01-16,¿Te gustaría jugar en grupo?
18638,932,656,2022-01-24,No te rindas tienes potencial
